time,tcp.stream,filePath,resolution
0.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_180_dashinit.mp4,0.0
1.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_432_dash2.m4s,3.0
2.0,0.0,,3.0
3.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dashinit.mp4,6.0
4.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dash3.m4s,6.0
5.0,0.0,,6.0
6.0,0.0,,6.0
7.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dashinit.mp4,7.0
8.0,0.0,,7.0
9.0,0.0,,7.0
10.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash5.m4s,7.0
11.0,0.0,,7.0
12.0,0.0,,7.0
13.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash6.m4s,7.0
14.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash7.m4s,7.0
15.0,0.0,,7.0
16.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash8.m4s,7.0
17.0,0.0,,7.0
18.0,0.0,,7.0
19.0,0.0,,7.0
20.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash9.m4s,7.0
21.0,0.0,,7.0
22.0,0.0,,7.0
23.0,0.0,,7.0
24.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash10.m4s,7.0
25.0,0.0,,7.0
26.0,0.0,,7.0
27.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash11.m4s,7.0
28.0,0.0,,7.0
29.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash12.m4s,7.0
30.0,0.0,,7.0
31.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash13.m4s,7.0
32.0,0.0,,7.0
33.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash14.m4s,7.0
34.0,0.0,,7.0
35.0,0.0,,7.0
36.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash15.m4s,7.0
37.0,0.0,,7.0
38.0,0.0,,7.0
39.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash16.m4s,7.0
40.0,0.0,,7.0
41.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash17.m4s,7.0
42.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash18.m4s,7.0
43.0,0.0,,7.0
44.0,0.0,,7.0
45.0,0.0,,7.0
46.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash19.m4s,7.0
47.0,0.0,,7.0
48.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash20.m4s,7.0
49.0,0.0,,7.0
50.0,0.0,,7.0
51.0,0.0,,7.0
52.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash21.m4s,7.0
53.0,0.0,,7.0
54.0,0.0,,7.0
55.0,0.0,,7.0
56.0,0.0,,7.0
57.0,0.0,,7.0
58.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash22.m4s,7.0
59.0,0.0,,7.0
60.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash23.m4s,7.0
61.0,0.0,,7.0
62.0,2.63737,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dashinit.mp4,6.0
63.0,5.17446,,6.0
64.0,4.88219,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dash25.m4s,6.0
