Time,Resolution
00:01,2560x1440
00:02,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:04,1024x576
00:05,1024x576
00:06,1024x576
00:07,1024x576
00:08,1920x1080
00:09,1920x1080
00:10,1920x1080
00:11,1920x1080
00:12,2560x1440
00:13,1024x576
00:14,1024x576
00:15,1024x576
00:16,1920x1080
00:17,1920x1080
00:18,1920x1080
00:19,1920x1080
00:20,1920x1080
00:21,1920x1080
00:22,1920x1080
00:23,1920x1080
00:24,1920x1080
00:25,1920x1080
00:26,1920x1080
00:27,1920x1080
00:28,1920x1080
00:29,1920x1080
00:30,1920x1080
00:31,1920x1080
00:32,1920x1080
00:33,1920x1080
00:34,1920x1080
00:35,1920x1080
00:36,1920x1080
00:37,1920x1080
00:38,1920x1080
00:39,1920x1080
00:40,2560x1440
00:41,2560x1440
00:42,2560x1440
00:43,2560x1440
00:44,2560x1440
00:45,2560x1440
00:46,2560x1440
00:47,2560x1440
00:48,2560x1440
00:49,2560x1440
00:50,2560x1440
00:51,2560x1440
00:52,2560x1440
00:53,2560x1440
00:54,2560x1440
00:55,2560x1440
00:56,2560x1440
00:57,2560x1440
00:58,2560x1440
00:59,2560x1440
01:00,2560x1440
01:01,2560x1440
01:02,2560x1440
01:03,2560x1440
01:04,2560x1440
01:05,2560x1440
01:06,2560x1440
01:07,2560x1440
01:08,2560x1440
01:09,2560x1440
01:10,2560x1440
01:11,2560x1440
01:12,2560x1440
01:13,2560x1440
01:14,2560x1440
01:15,2560x1440
01:16,2560x1440
01:17,2560x1440
01:18,2560x1440
01:19,2560x1440
01:20,2560x1440
01:21,2560x1440
01:22,2560x1440
01:23,2560x1440
01:24,2560x1440
01:25,2560x1440
01:26,2560x1440
01:27,2560x1440
01:28,2560x1440
01:29,2560x1440
01:30,2560x1440
01:31,2560x1440
01:32,2560x1440
01:33,2560x1440
01:34,2560x1440
01:35,2560x1440
01:36,2560x1440
01:37,2560x1440
01:38,2560x1440
01:39,2560x1440
01:40,2560x1440
01:41,2560x1440
01:42,2560x1440
01:43,2560x1440
01:44,2560x1440
01:45,2560x1440
01:46,2560x1440
01:47,2560x1440
01:48,2560x1440
01:49,2560x1440
01:50,2560x1440
01:51,2560x1440
01:52,2560x1440
01:53,2560x1440
01:54,2560x1440
01:55,2560x1440
01:56,2560x1440
01:57,2560x1440
01:58,2560x1440
01:59,2560x1440
02:00,2560x1440
02:01,2560x1440
02:02,2560x1440
02:03,2560x1440
02:04,2560x1440
02:05,2560x1440
02:06,2560x1440
02:07,2560x1440
02:08,2560x1440
02:09,2560x1440
02:10,2560x1440
02:11,2560x1440
02:12,2560x1440
02:13,2560x1440
02:14,2560x1440
02:15,2560x1440
02:16,2560x1440
02:17,2560x1440
02:18,2560x1440
02:19,2560x1440
02:20,2560x1440
02:21,2560x1440
02:22,2560x1440
02:23,2560x1440
02:24,2560x1440
02:25,2560x1440
02:26,2560x1440
02:27,2560x1440
02:28,2560x1440
02:29,2560x1440
02:30,2560x1440
02:31,2560x1440
02:32,2560x1440
02:33,2560x1440
02:34,2560x1440
02:35,2560x1440
02:36,2560x1440
02:37,2560x1440
02:38,2560x1440
02:39,2560x1440
02:40,2560x1440
02:41,2560x1440
02:42,2560x1440
02:43,2560x1440
02:44,2560x1440
02:45,2560x1440
02:46,2560x1440
02:47,2560x1440
02:48,2560x1440
02:49,2560x1440
02:50,2560x1440
02:51,2560x1440
02:52,2560x1440
02:53,2560x1440
02:54,2560x1440
02:55,2560x1440
02:56,2560x1440
02:57,2560x1440
02:58,2560x1440
02:59,2560x1440
03:00,2560x1440
03:01,2560x1440
03:02,2560x1440
03:03,2560x1440
03:04,2560x1440
03:05,2560x1440
03:06,2560x1440
03:07,2560x1440
03:08,2560x1440
03:09,2560x1440
03:10,2560x1440
03:11,2560x1440
03:12,2560x1440
03:13,2560x1440
03:14,2560x1440
03:15,2560x1440
03:16,2560x1440
03:17,2560x1440
03:18,2560x1440
03:19,2560x1440
03:20,2560x1440
03:21,2560x1440
03:22,2560x1440
03:23,2560x1440
03:24,2560x1440
03:25,2560x1440
03:26,2560x1440
03:27,2560x1440
03:28,2560x1440
03:29,2560x1440
03:30,2560x1440
03:31,2560x1440
03:32,2560x1440
03:33,2560x1440
03:34,2560x1440
03:35,2560x1440
03:36,2560x1440
03:37,2560x1440
03:38,2560x1440
03:39,2560x1440
03:40,2560x1440
03:41,2560x1440
03:42,2560x1440
03:43,2560x1440
03:44,2560x1440
03:45,2560x1440
03:46,2560x1440
03:47,2560x1440
03:48,2560x1440
03:49,2560x1440
03:50,2560x1440
03:51,2560x1440
03:52,2560x1440
03:53,2560x1440
03:54,2560x1440
03:55,2560x1440
03:56,2560x1440
03:57,2560x1440
03:58,2560x1440
03:59,2560x1440
04:00,2560x1440
04:01,2560x1440
04:02,2560x1440
04:03,2560x1440
04:04,2560x1440
04:05,2560x1440
04:06,2560x1440
04:07,2560x1440
04:08,2560x1440
04:09,2560x1440
04:10,2560x1440
04:11,2560x1440
04:12,2560x1440
04:13,2560x1440
04:14,2560x1440
04:15,2560x1440
04:16,2560x1440
04:17,2560x1440
04:18,2560x1440
04:19,2560x1440
04:20,2560x1440
04:21,2560x1440
04:22,2560x1440
04:23,2560x1440
04:24,2560x1440
04:25,2560x1440
04:26,2560x1440
04:27,2560x1440
04:28,2560x1440
04:29,2560x1440
04:30,2560x1440
04:31,2560x1440
04:32,2560x1440
04:33,2560x1440
04:34,2560x1440
04:35,2560x1440
04:36,2560x1440
04:37,2560x1440
04:38,2560x1440
04:39,2560x1440
04:40,2560x1440
04:41,2560x1440
04:42,2560x1440
04:43,2560x1440
04:44,2560x1440
04:45,2560x1440
04:46,2560x1440
04:47,2560x1440
04:48,2560x1440
04:49,2560x1440
04:50,2560x1440
04:51,2560x1440
04:52,2560x1440
04:53,2560x1440
04:54,2560x1440
04:55,2560x1440
04:56,2560x1440
04:57,2560x1440
04:58,2560x1440
04:59,2560x1440
