Time,Resolution
00:00,480x270
00:01,480x270
00:02,480x270
00:03,480x270
00:04,480x270
00:05,480x270
00:06,480x270
00:07,480x270
00:08,1280x720
00:09,1280x720
00:10,1280x720
00:11,1280x720
00:12,1920x1080
00:13,1920x1080
00:14,1920x1080
00:15,1920x1080
00:16,1280x720
00:17,1280x720
00:18,1280x720
00:19,1280x720
00:20,1280x720
00:21,1280x720
00:22,1280x720
00:23,1280x720
00:24,1280x720
00:25,1280x720
00:26,1280x720
00:27,1280x720
00:28,1280x720
00:29,1280x720
00:30,1280x720
00:31,1280x720
00:32,1280x720
00:33,1280x720
00:34,1280x720
00:35,1280x720
00:36,1280x720
00:37,1280x720
00:38,1280x720
00:39,1280x720
00:40,1280x720
00:41,1280x720
00:42,1280x720
00:43,1280x720
00:44,2560x1440
00:45,2560x1440
00:46,2560x1440
00:47,2560x1440
00:48,2560x1440
00:49,2560x1440
00:50,2560x1440
00:51,2560x1440
00:52,2560x1440
00:53,2560x1440
00:55,2560x1440
00:56,2560x1440
00:57,2560x1440
00:57,2560x1440
00:58,2560x1440
00:59,2560x1440
01:00,2560x1440
01:01,2560x1440
01:02,2560x1440
01:03,2560x1440
01:04,2560x1440
01:05,2560x1440
01:07,2560x1440
01:07,2560x1440
01:08,1920x1080
01:09,1920x1080
01:10,1920x1080
01:11,1920x1080
01:12,1920x1080
01:13,1920x1080
01:14,1920x1080
01:15,1920x1080
01:16,1920x1080
01:17,1920x1080
01:18,1920x1080
01:19,1920x1080
01:20,1920x1080
01:21,1920x1080
01:22,1920x1080
01:23,1920x1080
01:25,1920x1080
01:25,1920x1080
01:26,1920x1080
01:27,1920x1080
01:29,1920x1080
01:30,1920x1080
01:30,1920x1080
01:31,1920x1080
01:33,1920x1080
01:34,1920x1080
01:35,1920x1080
01:35,1920x1080
01:36,2560x1440
01:37,2560x1440
01:38,2560x1440
01:39,2560x1440
01:40,2560x1440
01:42,2560x1440
01:42,2560x1440
01:43,2560x1440
01:45,2560x1440
01:45,2560x1440
01:46,2560x1440
01:47,2560x1440
01:48,2560x1440
01:49,2560x1440
01:50,2560x1440
01:52,2560x1440
01:52,2560x1440
01:54,2560x1440
01:55,2560x1440
01:56,2560x1440
01:57,2560x1440
01:58,2560x1440
01:58,2560x1440
02:00,2560x1440
02:00,2560x1440
02:01,2560x1440
02:02,2560x1440
02:03,2560x1440
02:04,1920x1080
02:05,1920x1080
02:06,1920x1080
02:07,1920x1080
02:09,1920x1080
02:10,1920x1080
02:11,1920x1080
02:11,1920x1080
02:12,1920x1080
02:14,1920x1080
02:14,1920x1080
02:15,1920x1080
02:16,1920x1080
02:17,1920x1080
02:19,1920x1080
02:20,1920x1080
02:21,1920x1080
02:21,1920x1080
02:23,1920x1080
02:23,1920x1080
02:25,1920x1080
02:26,1920x1080
02:27,1920x1080
02:28,1920x1080
02:29,1920x1080
02:29,1920x1080
02:31,1920x1080
02:32,1920x1080
02:32,2560x1440
02:33,2560x1440
02:34,2560x1440
02:35,2560x1440
02:37,2560x1440
02:38,2560x1440
02:39,2560x1440
02:39,2560x1440
02:40,1280x720
02:42,1280x720
02:43,1280x720
02:43,1280x720
02:44,1280x720
02:46,1280x720
02:47,1280x720
02:48,1280x720
02:49,1280x720
02:50,1280x720
02:50,1280x720
02:51,1280x720
02:52,1280x720
02:53,1280x720
02:55,1280x720
02:56,1280x720
02:57,1280x720
02:58,1280x720
02:59,1280x720
03:00,1280x720
03:01,1280x720
03:02,1280x720
03:02,1280x720
03:04,1280x720
03:05,1280x720
03:05,1280x720
03:06,1280x720
03:08,1280x720
03:08,1280x720
03:09,1280x720
03:11,1280x720
03:12,1280x720
03:12,2560x1440
03:14,2560x1440
03:15,2560x1440
03:16,2560x1440
03:17,2560x1440
03:18,2560x1440
03:19,2560x1440
03:20,2560x1440
03:21,1024x576
03:21,1024x576
03:22,1024x576
