Time,Resolution
00:00,320x180
00:01,320x180
00:02,320x180
00:03,320x180
00:04,768x432
00:05,768x432
00:06,768x432
00:07,768x432
00:08,640x360
00:09,640x360
00:10,640x360
00:11,640x360
00:12,640x360
00:13,640x360
00:14,640x360
00:15,640x360
00:16,640x360
00:17,640x360
00:18,640x360
00:19,640x360
00:20,640x360
00:21,640x360
00:22,640x360
00:23,640x360
00:24,640x360
00:25,640x360
00:26,640x360
00:27,640x360
00:28,640x360
00:29,640x360
00:30,640x360
00:31,640x360
00:32,640x360
00:33,640x360
00:34,640x360
00:35,640x360
00:36,768x432
00:37,768x432
00:38,768x432
00:39,768x432
00:40,768x432
00:41,768x432
00:42,768x432
00:43,768x432
00:44,1024x576
00:45,1024x576
00:46,1024x576
00:47,1024x576
00:48,1024x576
00:49,1024x576
00:50,1024x576
00:51,1024x576
00:52,1024x576
00:53,1024x576
00:54,1024x576
00:55,1024x576
00:56,1024x576
00:57,1024x576
00:58,1024x576
00:59,1024x576
01:00,1024x576
01:01,1024x576
01:02,1024x576
01:03,1024x576
01:04,1024x576
01:05,1024x576
01:06,1024x576
01:07,1024x576
01:08,1024x576
01:09,1024x576
01:10,1024x576
01:11,1024x576
01:12,1024x576
01:13,1024x576
01:14,1024x576
01:15,1024x576
01:15,1024x576
01:15,1024x576
01:15,1024x576
01:15,1024x576
01:15,1024x576
01:15,1024x576
01:15,1024x576
01:16,1024x576
01:17,1024x576
01:18,1024x576
01:19,1024x576
01:19,1024x576
01:19,1024x576
01:19,1024x576
01:19,1024x576
01:19,1024x576
01:20,320x180
01:21,320x180
01:22,320x180
01:23,320x180
01:24,320x180
01:25,320x180
01:26,320x180
01:27,320x180
01:28,320x180
01:29,320x180
01:30,320x180
01:31,320x180
01:32,480x270
01:33,480x270
01:34,480x270
01:35,480x270
01:36,480x270
01:37,480x270
01:38,480x270
01:39,480x270
01:40,480x270
01:41,480x270
01:42,480x270
01:43,480x270
01:44,480x270
01:45,480x270
01:46,480x270
01:47,480x270
01:48,480x270
01:49,480x270
01:50,480x270
01:51,480x270
01:52,480x270
01:53,480x270
01:54,480x270
01:55,480x270
01:56,480x270
01:57,480x270
01:58,480x270
01:59,480x270
02:00,480x270
02:01,480x270
02:02,480x270
02:03,480x270
02:04,480x270
02:05,480x270
02:06,640x360
02:07,640x360
02:08,480x270
02:09,480x270
02:10,480x270
02:11,480x270
02:11,480x270
02:12,480x270
02:13,480x270
02:14,480x270
02:15,480x270
02:16,480x270
02:17,480x270
02:18,480x270
02:19,480x270
02:20,480x270
02:21,480x270
02:22,480x270
02:23,480x270
02:23,480x270
02:23,480x270
02:23,480x270
02:23,480x270
02:23,480x270
02:23,480x270
02:24,480x270
02:25,480x270
02:26,480x270
02:27,480x270
02:28,480x270
02:29,480x270
02:30,480x270
02:31,480x270
02:32,480x270
02:33,480x270
02:34,480x270
02:35,480x270
02:36,480x270
02:37,480x270
02:38,480x270
02:39,480x270
02:40,480x270
02:41,480x270
02:42,640x360
02:43,640x360
02:44,640x360
02:45,640x360
02:46,640x360
02:47,640x360
02:47,320x180
02:47,320x180
02:47,320x180
02:48,480x270
02:49,480x270
02:50,480x270
02:51,480x270
02:52,480x270
02:53,480x270
02:54,480x270
02:55,480x270
02:56,480x270
02:57,480x270
02:58,480x270
02:59,480x270
03:00,480x270
03:01,480x270
03:02,480x270
03:03,480x270
03:04,480x270
03:05,480x270
03:06,480x270
03:07,480x270
03:07,480x270
03:07,480x270
03:07,480x270
03:07,480x270
03:07,480x270
03:08,480x270
03:09,480x270
03:10,480x270
03:11,480x270
03:12,480x270
03:14,480x270
03:14,480x270
03:15,480x270
03:17,480x270
03:17,480x270
03:18,480x270
03:19,480x270
03:20,480x270
03:21,320x180
03:22,320x180
03:23,320x180
03:24,480x270
03:25,480x270
03:26,480x270
03:27,480x270
03:28,480x270
03:29,480x270
03:30,480x270
03:31,480x270
03:32,480x270
03:33,480x270
03:34,480x270
03:35,480x270
03:36,480x270
03:37,480x270
03:38,480x270
03:39,480x270
03:40,480x270
03:41,480x270
03:42,480x270
03:43,480x270
03:44,480x270
03:45,480x270
03:46,480x270
03:47,480x270
03:48,480x270
03:49,480x270
03:50,480x270
03:51,480x270
03:52,1024x576
03:53,1024x576
03:54,1024x576
03:55,1024x576
03:56,940x540
03:57,940x540
03:58,940x540
03:59,940x540
04:00,940x540
04:01,940x540
04:02,940x540
04:03,940x540
04:04,940x540
04:05,940x540
04:06,940x540
04:07,940x540
04:08,940x540
04:09,940x540
04:10,940x540
04:11,940x540
04:12,940x540
04:13,940x540
04:14,940x540
04:15,940x540
04:16,940x540
04:17,940x540
04:18,940x540
04:19,940x540
04:20,940x540
04:21,940x540
04:22,940x540
04:23,940x540
04:24,940x540
04:25,940x540
04:26,940x540
04:27,940x540
04:28,1024x576
04:29,1024x576
04:30,1024x576
04:31,1024x576
04:32,1024x576
04:33,1024x576
04:34,1024x576
04:35,1024x576
04:36,768x432
04:37,768x432
04:38,768x432
04:39,768x432
04:40,768x432
04:41,940x540
04:42,940x540
04:43,940x540
04:44,768x432
04:45,768x432
04:46,768x432
04:47,768x432
04:48,768x432
04:49,768x432
04:50,768x432
04:51,768x432
04:52,768x432
04:53,768x432
04:54,768x432
04:55,768x432
04:56,768x432
04:57,768x432
04:58,768x432
04:59,768x432
